SentimentID,PostID,UserID,DateID,SentimentScore,SentimentCategory
0,0,485,0,0.11,Neutral
1,1,4657,1,-0.4,Positive
2,2,4483,2,0.72,Negative
3,3,3223,3,0.29,Positive
4,4,3654,4,0.29,Negative
5,5,4507,5,-0.11,Neutral
6,6,2221,6,0.29,Neutral
7,7,93,7,-0.1,Negative
8,8,950,8,0.07,Positive
9,9,3631,9,0.68,Negative
10,10,3427,10,-0.53,Neutral
11,11,1922,11,-0.84,Negative
12,12,4150,12,-0.52,Positive
13,13,2082,13,0.92,Positive
14,14,963,14,-0.3,Positive
15,15,3765,15,-0.56,Positive
16,16,3426,16,0.73,Negative
17,17,2917,17,0.31,Negative
18,18,1456,18,-0.33,Neutral
19,19,4807,19,0.83,Negative
20,20,4058,20,0.3,Neutral
21,21,1135,21,-0.97,Negative
22,22,546,22,0.33,Negative
23,23,2835,23,-0.78,Positive
24,24,864,24,0.75,Positive
25,25,1127,25,0.51,Negative
26,26,1744,26,0.21,Positive
27,27,4111,27,-0.5,Neutral
28,28,4266,28,-0.32,Negative
29,29,2451,29,1.0,Negative
30,30,2110,30,-0.22,Neutral
31,31,2809,31,-0.76,Positive
32,32,4133,32,-0.25,Neutral
33,33,1615,33,-0.6,Positive
34,34,2688,34,0.24,Negative
35,35,2287,35,-0.27,Negative
36,36,4605,36,-0.57,Positive
37,37,1918,37,-0.49,Positive
38,38,926,38,0.99,Neutral
39,39,3254,39,0.24,Neutral
40,40,4365,40,-0.12,Neutral
41,41,1676,41,0.86,Neutral
42,42,266,42,0.97,Neutral
43,43,1779,43,-0.86,Neutral
44,44,4647,44,0.28,Negative
45,45,3358,45,-0.98,Negative
46,46,3298,46,-0.69,Positive
47,47,3735,47,0.93,Positive
48,48,2754,48,0.93,Neutral
49,49,2138,49,0.91,Positive
50,50,357,50,-0.36,Positive
51,51,3086,51,0.63,Positive
52,52,151,52,-0.77,Negative
53,53,4211,53,0.7,Negative
54,54,2584,54,-0.15,Negative
55,55,4332,55,-0.94,Negative
56,56,3265,56,0.57,Neutral
57,57,124,57,0.33,Negative
58,58,2306,58,0.26,Positive
59,59,4702,59,0.04,Positive
60,60,936,60,0.77,Neutral
61,61,1347,61,0.71,Positive
62,62,73,62,-0.46,Positive
63,63,4428,63,0.34,Neutral
64,64,656,64,-0.83,Positive
65,65,2351,65,-0.34,Neutral
66,66,3816,66,-0.39,Positive
67,67,880,67,0.44,Negative
68,68,3061,68,0.62,Negative
69,69,1742,69,-0.73,Positive
70,70,3010,70,-0.51,Neutral
71,71,982,71,-0.39,Neutral
72,72,4538,72,-0.19,Neutral
73,73,1021,73,-0.72,Negative
74,74,3719,74,-0.41,Neutral
75,75,2355,75,-0.07,Neutral
76,76,3414,76,0.27,Negative
77,77,3483,77,-0.51,Negative
78,78,4836,78,-0.56,Negative
79,79,736,79,0.49,Negative
80,80,528,80,-0.13,Positive
81,81,1806,81,-0.39,Neutral
82,82,1169,82,0.59,Negative
83,83,4449,83,-0.97,Positive
84,84,84,84,0.55,Negative
85,85,727,85,-0.32,Positive
86,86,4918,86,-0.52,Negative
87,87,930,87,0.36,Negative
88,88,3439,88,-0.09,Positive
89,89,3807,89,-0.64,Negative
90,90,3939,90,-0.33,Negative
91,91,3397,91,0.76,Negative
92,92,993,92,0.13,Positive
